YearsExperience,Age,Education,JobType,Location,CompanySize,PerformanceRating,ProjectsCompleted,Certifications,Promoted,Salary
1.1,22,Bachelor,Engineering,Urban,Medium,3,2,0,No,45000
1.3,23,Bachelor,Marketing,Suburban,Small,3,3,1,No,42000
1.5,24,Bachelor,Sales,Urban,Medium,4,4,1,No,46000
1.8,25,Bachelor,HR,Rural,Small,3,2,0,No,38000
2.0,26,Bachelor,DataScience,Urban,Large,4,5,2,No,55000
2.2,27,Bachelor,Engineering,Suburban,Medium,3,4,1,No,48000
2.5,28,Master,DataScience,Urban,Large,4,6,2,Yes,62000
2.8,29,Bachelor,Management,Urban,Medium,3,5,1,No,52000
3.0,30,Bachelor,Engineering,Urban,Large,4,7,2,No,58000
3.2,31,Master,Engineering,Urban,Large,5,8,3,Yes,72000
3.5,32,Bachelor,Sales,Suburban,Medium,4,6,1,No,51000
3.8,33,Bachelor,Marketing,Urban,Large,3,5,2,No,54000
4.0,34,Master,DataScience,Urban,Large,5,10,3,Yes,78000
4.2,35,Bachelor,HR,Suburban,Medium,3,4,1,No,47000
4.5,36,Master,Engineering,Urban,Large,4,9,2,Yes,75000
4.8,37,Bachelor,Sales,Urban,Medium,4,7,2,No,56000
5.0,38,Master,Management,Urban,Large,5,12,3,Yes,88000
5.3,39,Bachelor,Engineering,Suburban,Medium,3,8,2,No,60000
5.5,40,Master,DataScience,Urban,Large,5,14,4,Yes,95000
5.8,41,Bachelor,Marketing,Urban,Medium,4,9,2,No,58000
6.0,42,Master,Engineering,Urban,Large,4,11,3,Yes,82000
6.2,43,PhD,DataScience,Urban,Large,5,15,4,Yes,105000
6.5,44,Master,Management,Urban,Large,5,13,3,Yes,92000
6.8,45,Bachelor,Sales,Suburban,Medium,3,10,2,No,62000
7.0,46,Master,Engineering,Urban,Large,4,12,3,Yes,86000
7.3,47,Master,DataScience,Urban,Large,5,16,4,Yes,98000
7.5,48,PhD,Engineering,Urban,Large,5,18,5,Yes,115000
7.8,49,Master,Management,Urban,Large,4,14,3,Yes,94000
8.0,50,Bachelor,Marketing,Suburban,Medium,3,11,2,No,64000
